team_id,ranking
1,12
2,15
3,13
4,1
5,23
6,27
7,30
8,17
9,19
10,29
11,28
12,3
13,21
14,7
15,32
16,4
17,8
18,10
19,14
20,11
21,16
22,24
23,2
24,25
25,31
26,26
27,18
28,20
29,9
30,5
31,6
32,22
